datetime,flow_into_wrrf
5/12/2018 17:40,2343.34511
5/12/2018 17:55,2340.451598
5/12/2018 18:10,2333.540043
5/12/2018 18:25,2325.8312
5/12/2018 18:40,2312.554443
5/12/2018 18:55,2296.731163
5/12/2018 19:10,2296.777214
5/12/2018 19:25,2298.15544
5/12/2018 19:40,2292.490531
5/12/2018 19:55,2293.488729
5/12/2018 20:10,2290.59846
5/12/2018 20:25,2289.010889
5/12/2018 20:40,2288.3739
5/12/2018 20:55,2287.3022
5/12/2018 21:10,2286.1251
5/12/2018 21:25,2285.42624
5/12/2018 21:40,2285.968167
5/12/2018 21:55,2285.142664
5/12/2018 22:10,2283.944949
5/12/2018 22:25,2282.4661
5/12/2018 22:40,2281.126861
5/12/2018 22:55,2281.168842
5/12/2018 23:10,2280.9666
5/12/2018 23:25,2279.643911
5/12/2018 23:40,2277.850156
5/12/2018 23:55,2277.518174
